initialize area:0
parent i = 0, counter = 0
parent i = 2, counter = 2
parent i = 4, counter = 4
parent i = 6, counter = 6
parent i = 8, counter = 8
parent i = 10, counter = 10
parent i = 12, counter = 12
parent i = 14, counter = 14
parent i = 16, counter = 16
parent i = 18, counter = 18
parent i = 20, counter = 20
parent i = 22, counter = 22
parent i = 24, counter = 24
parent i = 26, counter = 26
parent i = 28, counter = 28
parent i = 30, counter = 30
parent i = 32, counter = 32
parent i = 34, counter = 34
parent i = 36, counter = 36
parent i = 38, counter = 38
parent i = 40, counter = 40
parent i = 42, counter = 42
parent i = 44, counter = 44
parent i = 46, counter = 46
parent i = 48, counter = 48
parent i = 50, counter = 50
parent i = 52, counter = 52
parent i = 54, counter = 54
parent i = 56, counter = 56
parent i = 58, counter = 58
parent i = 60, counter = 60
parent i = 62, counter = 62
parent i = 64, counter = 64
parent i = 66, counter = 66
parent i = 68, counter = 68
parent i = 70, counter = 70
parent i = 72, counter = 72
parent i = 74, counter = 74
parent i = 76, counter = 76
parent i = 78, counter = 78
parent i = 80, counter = 80
parent i = 82, counter = 82
parent i = 84, counter = 84
parent i = 86, counter = 86
parent i = 88, counter = 88
parent i = 90, counter = 90
parent i = 92, counter = 92
parent i = 94, counter = 94
parent i = 96, counter = 96
parent i = 98, counter = 98
parent i = 100, counter = 100
parent i = 102, counter = 102
parent i = 104, counter = 104
parent i = 106, counter = 106
parent i = 108, counter = 108
parent i = 110, counter = 110
parent i = 112, counter = 112
parent i = 114, counter = 114
parent i = 116, counter = 116
parent i = 118, counter = 118
parent i = 120, counter = 120
parent i = 122, counter = 122
parent i = 124, counter = 124
parent i = 126, counter = 126
parent i = 128, counter = 128
parent i = 130, counter = 130
parent i = 132, counter = 132
parent i = 134, counter = 134
parent i = 136, counter = 136
parent i = 138, counter = 138
parent i = 140, counter = 140
parent i = 142, counter = 142
parent i = 144, counter = 144
parent i = 146, counter = 146
parent i = 148, counter = 148
parent i = 150, counter = 150
parent i = 152, counter = 152
parent i = 154, counter = 154
parent i = 156, counter = 156
parent i = 158, counter = 158
parent i = 160, counter = 160
parent i = 162, counter = 162
parent i = 164, counter = 164
parent i = 166, counter = 166
parent i = 168, counter = 168
parent i = 170, counter = 170
parent i = 172, counter = 172
parent i = 174, counter = 174
parent i = 176, counter = 176
parent i = 178, counter = 178
parent i = 180, counter = 180
parent i = 182, counter = 182
parent i = 184, counter = 184
parent i = 186, counter = 186
parent i = 188, counter = 188
parent i = 190, counter = 190
parent i = 192, counter = 192
parent i = 194, counter = 194
parent i = 196, counter = 196
parent i = 198, counter = 198
parent i = 200, counter = 200
parent i = 202, counter = 202
parent i = 204, counter = 204
parent i = 206, counter = 206
parent i = 208, counter = 208
parent i = 210, counter = 210
parent i = 212, counter = 212
parent i = 214, counter = 214
parent i = 216, counter = 216
parent i = 218, counter = 218
parent i = 220, counter = 220
parent i = 222, counter = 222
parent i = 224, counter = 224
parent i = 226, counter = 226
parent i = 228, counter = 228
parent i = 230, counter = 230
parent i = 232, counter = 232
parent i = 234, counter = 234
parent i = 236, counter = 236
parent i = 238, counter = 238
parent i = 240, counter = 240
parent i = 242, counter = 242
parent i = 244, counter = 244
parent i = 246, counter = 246
parent i = 248, counter = 248
parent i = 250, counter = 250
parent i = 252, counter = 252
parent i = 254, counter = 254
parent i = 256, counter = 256
parent i = 258, counter = 258
parent i = 260, counter = 260
parent i = 262, counter = 262
parent i = 264, counter = 264
parent i = 266, counter = 266
parent i = 268, counter = 268
parent i = 270, counter = 270
parent i = 272, counter = 272
parent i = 274, counter = 274
parent i = 276, counter = 276
parent i = 278, coinitialize area:0
child i = 1, counter = 1
child i = 3, counter = 3
child i = 5, counter = 5
child i = 7, counter = 7
child i = 9, counter = 9
child i = 11, counter = 11
child i = 13, counter = 13
child i = 15, counter = 15
child i = 17, counter = 17
child i = 19, counter = 19
child i = 21, counter = 21
child i = 23, counter = 23
child i = 25, counter = 25
child i = 27, counter = 27
child i = 29, counter = 29
child i = 31, counter = 31
child i = 33, counter = 33
child i = 35, counter = 35
child i = 37, counter = 37
child i = 39, counter = 39
child i = 41, counter = 41
child i = 43, counter = 43
child i = 45, counter = 45
child i = 47, counter = 47
child i = 49, counter = 49
child i = 51, counter = 51
child i = 53, counter = 53
child i = 55, counter = 55
child i = 57, counter = 57
child i = 59, counter = 59
child i = 61, counter = 61
child i = 63, counter = 63
child i = 65, counter = 65
child i = 67, counter = 67
child i = 69, counter = 69
child i = 71, counter = 71
child i = 73, counter = 73
child i = 75, counter = 75
child i = 77, counter = 77
child i = 79, counter = 79
child i = 81, counter = 81
child i = 83, counter = 83
child i = 85, counter = 85
child i = 87, counter = 87
child i = 89, counter = 89
child i = 91, counter = 91
child i = 93, counter = 93
child i = 95, counter = 95
child i = 97, counter = 97
child i = 99, counter = 99
child i = 101, counter = 101
child i = 103, counter = 103
child i = 105, counter = 105
child i = 107, counter = 107
child i = 109, counter = 109
child i = 111, counter = 111
child i = 113, counter = 113
child i = 115, counter = 115
child i = 117, counter = 117
child i = 119, counter = 119
child i = 121, counter = 121
child i = 123, counter = 123
child i = 125, counter = 125
child i = 127, counter = 127
child i = 129, counter = 129
child i = 131, counter = 131
child i = 133, counter = 133
child i = 135, counter = 135
child i = 137, counter = 137
child i = 139, counter = 139
child i = 141, counter = 141
child i = 143, counter = 143
child i = 145, counter = 145
child i = 147, counter = 147
child i = 149, counter = 149
child i = 151, counter = 151
child i = 153, counter = 153
child i = 155, counter = 155
child i = 157, counter = 157
child i = 159, counter = 159
child i = 161, counter = 161
child i = 163, counter = 163
child i = 165, counter = 165
child i = 167, counter = 167
child i = 169, counter = 169
child i = 171, counter = 171
child i = 173, counter = 173
child i = 175, counter = 175
child i = 177, counter = 177
child i = 179, counter = 179
child i = 181, counter = 181
child i = 183, counter = 183
child i = 185, counter = 185
child i = 187, counter = 187
child i = 189, counter = 189
child i = 191, counter = 191
child i = 193, counter = 193
child i = 195, counter = 195
child i = 197, counter = 197
child i = 199, counter = 199
child i = 201, counter = 201
child i = 203, counter = 203
child i = 205, counter = 205
child i = 207, counter = 207
child i = 209, counter = 209
child i = 211, counter = 211
child i = 213, counter = 213
child i = 215, counter = 215
child i = 217, counter = 217
child i = 219, counter = 219
child i = 221, counter = 221
child i = 223, counter = 223
child i = 225, counter = 225
child i = 227, counter = 227
child i = 229, counter = 229
child i = 231, counter = 231
child i = 233, counter = 233
child i = 235, counter = 235
child i = 237, counter = 237
child i = 239, counter = 239
child i = 241, counter = 241
child i = 243, counter = 243
child i = 245, counter = 245
child i = 247, counter = 247
child i = 249, counter = 249
child i = 251, counter = 251
child i = 253, counter = 253
child i = 255, counter = 255
child i = 257, counter = 257
child i = 259, counter = 259
child i = 261, counter = 261
child i = 263, counter = 263
child i = 265, counter = 265
child i = 267, counter = 267
child i = 269, counter = 269
child i = 271, counter = 271
child i = 273, counter = 273
child i = 275, counter = 275
child i = 277, counter = 277
child i = 279, counter = 279
child i = 281, counter = 281
child i = 283, counter = 283
child i = 285, counter = 285
child i = 287, counter = 287
child i = 28unter = 278
parent i = 280, counter = 280
parent i = 282, counter = 282
parent i = 284, counter = 284
parent i = 286, counter = 286
parent i = 288, counter = 288
parent i = 290, counter = 290
parent i = 292, counter = 292
parent i = 294, counter = 294
parent i = 296, counter = 296
parent i = 298, counter = 298
parent i = 300, counter = 300
parent i = 302, counter = 302
parent i = 304, counter = 304
parent i = 306, counter = 306
parent i = 308, counter = 308
parent i = 310, counter = 310
parent i = 312, counter = 312
parent i = 314, counter = 314
parent i = 316, counter = 316
parent i = 318, counter = 318
parent i = 320, counter = 320
parent i = 322, counter = 322
parent i = 324, counter = 324
parent i = 326, counter = 326
parent i = 328, counter = 328
parent i = 330, counter = 330
parent i = 332, counter = 332
parent i = 334, counter = 334
parent i = 336, counter = 336
parent i = 338, counter = 338
parent i = 340, counter = 340
parent i = 342, counter = 342
parent i = 344, counter = 344
parent i = 346, counter = 346
parent i = 348, counter = 348
parent i = 350, counter = 350
parent i = 352, counter = 352
parent i = 354, counter = 354
parent i = 356, counter = 356
parent i = 358, counter = 358
parent i = 360, counter = 360
parent i = 362, counter = 362
parent i = 364, counter = 364
parent i = 366, counter = 366
parent i = 368, counter = 368
parent i = 370, counter = 370
parent i = 372, counter = 372
parent i = 374, counter = 374
parent i = 376, counter = 376
parent i = 378, counter = 378
parent i = 380, counter = 380
parent i = 382, counter = 382
parent i = 384, counter = 384
parent i = 386, counter = 386
parent i = 388, counter = 388
parent i = 390, counter = 390
parent i = 392, counter = 392
parent i = 394, counter = 394
parent i = 396, counter = 396
parent i = 398, counter = 398
parent i = 400, counter = 400
parent i = 402, counter = 402
parent i = 404, counter = 404
parent i = 406, counter = 406
parent i = 408, counter = 408
parent i = 410, counter = 410
parent i = 412, counter = 412
parent i = 414, counter = 414
parent i = 416, counter = 416
parent i = 418, counter = 418
parent i = 420, counter = 420
parent i = 422, counter = 422
parent i = 424, counter = 424
parent i = 426, counter = 426
parent i = 428, counter = 428
parent i = 430, counter = 430
parent i = 432, counter = 432
parent i = 434, counter = 434
parent i = 436, counter = 436
parent i = 438, counter = 438
parent i = 440, counter = 440
parent i = 442, counter = 442
parent i = 444, counter = 444
parent i = 446, counter = 446
parent i = 448, counter = 448
parent i = 450, counter = 450
parent i = 452, counter = 452
parent i = 454, counter = 454
parent i = 456, counter = 456
parent i = 458, counter = 458
parent i = 460, counter = 460
parent i = 462, counter = 462
parent i = 464, counter = 464
parent i = 466, counter = 466
parent i = 468, counter = 468
parent i = 470, counter = 470
parent i = 472, counter = 472
parent i = 474, counter = 474
parent i = 476, counter = 476
parent i = 478, counter = 478
parent i = 480, counter = 480
parent i = 482, counter = 482
parent i = 484, counter = 484
parent i = 486, counter = 486
parent i = 488, counter = 488
parent i = 490, counter = 490
parent i = 492, counter = 492
parent i = 494, counter = 494
parent i = 496, counter = 496
parent i = 498, counter = 498
parent i = 500, counter = 500
parent i = 502, counter = 502
parent i = 504, counter = 504
parent i = 506, counter = 506
parent i = 508, counter = 508
parent i = 510, counter = 510
parent i = 512, counter = 512
parent i = 514, counter = 514
parent i = 516, counter = 516
parent i = 518, counter = 518
parent i = 520, counter = 520
parent i = 522, counter = 522
parent i = 524, counter = 524
parent i = 526, counter = 526
parent i = 528, counter = 528
parent i = 530, counter = 530
parent i = 532, counter = 532
parent i = 534, counter = 534
parent i = 536, counter = 536
parent i = 538, counter = 538
parent i = 540, counter = 540
parent i = 542, counter = 542
parent i = 544, counter = 544
parent i = 546, counter = 546
parent i = 548, counter = 548
parent i = 550, counter = 550
pare9, counter = 289
child i = 291, counter = 291
child i = 293, counter = 293
child i = 295, counter = 295
child i = 297, counter = 297
child i = 299, counter = 299
child i = 301, counter = 301
child i = 303, counter = 303
child i = 305, counter = 305
child i = 307, counter = 307
child i = 309, counter = 309
child i = 311, counter = 311
child i = 313, counter = 313
child i = 315, counter = 315
child i = 317, counter = 317
child i = 319, counter = 319
child i = 321, counter = 321
child i = 323, counter = 323
child i = 325, counter = 325
child i = 327, counter = 327
child i = 329, counter = 329
child i = 331, counter = 331
child i = 333, counter = 333
child i = 335, counter = 335
child i = 337, counter = 337
child i = 339, counter = 339
child i = 341, counter = 341
child i = 343, counter = 343
child i = 345, counter = 345
child i = 347, counter = 347
child i = 349, counter = 349
child i = 351, counter = 351
child i = 353, counter = 353
child i = 355, counter = 355
child i = 357, counter = 357
child i = 359, counter = 359
child i = 361, counter = 361
child i = 363, counter = 363
child i = 365, counter = 365
child i = 367, counter = 367
child i = 369, counter = 369
child i = 371, counter = 371
child i = 373, counter = 373
child i = 375, counter = 375
child i = 377, counter = 377
child i = 379, counter = 379
child i = 381, counter = 381
child i = 383, counter = 383
child i = 385, counter = 385
child i = 387, counter = 387
child i = 389, counter = 389
child i = 391, counter = 391
child i = 393, counter = 393
child i = 395, counter = 395
child i = 397, counter = 397
child i = 399, counter = 399
child i = 401, counter = 401
child i = 403, counter = 403
child i = 405, counter = 405
child i = 407, counter = 407
child i = 409, counter = 409
child i = 411, counter = 411
child i = 413, counter = 413
child i = 415, counter = 415
child i = 417, counter = 417
child i = 419, counter = 419
child i = 421, counter = 421
child i = 423, counter = 423
child i = 425, counter = 425
child i = 427, counter = 427
child i = 429, counter = 429
child i = 431, counter = 431
child i = 433, counter = 433
child i = 435, counter = 435
child i = 437, counter = 437
child i = 439, counter = 439
child i = 441, counter = 441
child i = 443, counter = 443
child i = 445, counter = 445
child i = 447, counter = 447
child i = 449, counter = 449
child i = 451, counter = 451
child i = 453, counter = 453
child i = 455, counter = 455
child i = 457, counter = 457
child i = 459, counter = 459
child i = 461, counter = 461
child i = 463, counter = 463
child i = 465, counter = 465
child i = 467, counter = 467
child i = 469, counter = 469
child i = 471, counter = 471
child i = 473, counter = 473
child i = 475, counter = 475
child i = 477, counter = 477
child i = 479, counter = 479
child i = 481, counter = 481
child i = 483, counter = 483
child i = 485, counter = 485
child i = 487, counter = 487
child i = 489, counter = 489
child i = 491, counter = 491
child i = 493, counter = 493
child i = 495, counter = 495
child i = 497, counter = 497
child i = 499, counter = 499
child i = 501, counter = 501
child i = 503, counter = 503
child i = 505, counter = 505
child i = 507, counter = 507
child i = 509, counter = 509
child i = 511, counter = 511
child i = 513, counter = 513
child i = 515, counter = 515
child i = 517, counter = 517
child i = 519, counter = 519
child i = 521, counter = 521
child i = 523, counter = 523
child i = 525, counter = 525
child i = 527, counter = 527
child i = 529, counter = 529
child i = 531, counter = 531
child i = 533, counter = 533
child i = 535, counter = 535
child i = 537, counter = 537
child i = 539, counter = 539
child i = 541, counter = 541
child i = 543, counter = 543
child i = 545, counter = 545
child i = 547, counter = 547
child i = 549, counter = 549
child i = 551, counter = 551
child i = 553, counter = 553
child i = 555, counter = 555
child i = 557, counter = 557
child i = 559, counter = 559
child i = 561, counter = 561
child i = 563, counter = 563
child i = 565, counter = 565
child i = 567, counter = 567
child i = 569, counter = 569
child i = 571, counnt i = 552, counter = 552
parent i = 554, counter = 554
parent i = 556, counter = 556
parent i = 558, counter = 558
parent i = 560, counter = 560
parent i = 562, counter = 562
parent i = 564, counter = 564
parent i = 566, counter = 566
parent i = 568, counter = 568
parent i = 570, counter = 570
parent i = 572, counter = 572
parent i = 574, counter = 574
parent i = 576, counter = 576
parent i = 578, counter = 578
parent i = 580, counter = 580
parent i = 582, counter = 582
parent i = 584, counter = 584
parent i = 586, counter = 586
parent i = 588, counter = 588
parent i = 590, counter = 590
parent i = 592, counter = 592
parent i = 594, counter = 594
parent i = 596, counter = 596
parent i = 598, counter = 598
parent i = 600, counter = 600
parent i = 602, counter = 602
parent i = 604, counter = 604
parent i = 606, counter = 606
parent i = 608, counter = 608
parent i = 610, counter = 610
parent i = 612, counter = 612
parent i = 614, counter = 614
parent i = 616, counter = 616
parent i = 618, counter = 618
parent i = 620, counter = 620
parent i = 622, counter = 622
parent i = 624, counter = 624
parent i = 626, counter = 626
parent i = 628, counter = 628
parent i = 630, counter = 630
parent i = 632, counter = 632
parent i = 634, counter = 634
parent i = 636, counter = 636
parent i = 638, counter = 638
parent i = 640, counter = 640
parent i = 642, counter = 642
parent i = 644, counter = 644
parent i = 646, counter = 646
parent i = 648, counter = 648
parent i = 650, counter = 650
parent i = 652, counter = 652
parent i = 654, counter = 654
parent i = 656, counter = 656
parent i = 658, counter = 658
parent i = 660, counter = 660
parent i = 662, counter = 662
parent i = 664, counter = 664
parent i = 666, counter = 666
parent i = 668, counter = 668
parent i = 670, counter = 670
parent i = 672, counter = 672
parent i = 674, counter = 674
parent i = 676, counter = 676
parent i = 678, counter = 678
parent i = 680, counter = 680
parent i = 682, counter = 682
parent i = 684, counter = 684
parent i = 686, counter = 686
parent i = 688, counter = 688
parent i = 690, counter = 690
parent i = 692, counter = 692
parent i = 694, counter = 694
parent i = 696, counter = 696
parent i = 698, counter = 698
parent i = 700, counter = 700
parent i = 702, counter = 702
parent i = 704, counter = 704
parent i = 706, counter = 706
parent i = 708, counter = 708
parent i = 710, counter = 710
parent i = 712, counter = 712
parent i = 714, counter = 714
parent i = 716, counter = 716
parent i = 718, counter = 718
parent i = 720, counter = 720
parent i = 722, counter = 722
parent i = 724, counter = 724
parent i = 726, counter = 726
parent i = 728, counter = 728
parent i = 730, counter = 730
parent i = 732, counter = 732
parent i = 734, counter = 734
parent i = 736, counter = 736
parent i = 738, counter = 738
parent i = 740, counter = 740
parent i = 742, counter = 742
parent i = 744, counter = 744
parent i = 746, counter = 746
parent i = 748, counter = 748
parent i = 750, counter = 750
parent i = 752, counter = 752
parent i = 754, counter = 754
parent i = 756, counter = 756
parent i = 758, counter = 758
parent i = 760, counter = 760
parent i = 762, counter = 762
parent i = 764, counter = 764
parent i = 766, counter = 766
parent i = 768, counter = 768
parent i = 770, counter = 770
parent i = 772, counter = 772
parent i = 774, counter = 774
parent i = 776, counter = 776
parent i = 778, counter = 778
parent i = 780, counter = 780
parent i = 782, counter = 782
parent i = 784, counter = 784
parent i = 786, counter = 786
parent i = 788, counter = 788
parent i = 790, counter = 790
parent i = 792, counter = 792
parent i = 794, counter = 794
parent i = 796, counter = 796
parent i = 798, counter = 798
parent i = 800, counter = 800
parent i = 802, counter = 802
parent i = 804, counter = 804
parent i = 806, counter = 806
parent i = 808, counter = 808
parent i = 810, counter = 810
parent i = 812, counter = 812
parent i = 814, counter = 814
parent i = 816, counter = 816
parent i = 818, counter = 818
parent i = 820, counter = 820
parent i = 822, counter = 822
parent i = 824, counter = 571
child i = 573, counter = 573
child i = 575, counter = 575
child i = 577, counter = 577
child i = 579, counter = 579
child i = 581, counter = 581
child i = 583, counter = 583
