 PPID   PID  PGID   SID TTY      TPGID STAT   UID   TIME COMMAND
    0     1     1     1 ?           -1 Ss       0   1:25 /sbin/init
    0     2     0     0 ?           -1 S        0   0:00 [kthreadd]
    2     3     0     0 ?           -1 S        0   0:00 [migration/0]
    2     4     0     0 ?           -1 S        0   0:17 [ksoftirqd/0]
    2     5     0     0 ?           -1 S        0   0:03 [watchdog/0]
    2     6     0     0 ?           -1 S        0   4:02 [events/0]
    2     7     0     0 ?           -1 S        0   0:00 [cpuset]
    2     8     0     0 ?           -1 S        0   0:00 [khelper]
    2     9     0     0 ?           -1 S        0   0:00 [netns]
    2    10     0     0 ?           -1 S        0   0:00 [async/mgr]
    2    11     0     0 ?           -1 S        0   0:00 [pm]
    2    12     0     0 ?           -1 S        0   0:02 [sync_supers]
    2    13     0     0 ?           -1 S        0   0:06 [bdi-default]
    2    14     0     0 ?           -1 S        0   0:00 [kintegrityd/0]
    2    15     0     0 ?           -1 S        0   0:43 [kblockd/0]
    2    16     0     0 ?           -1 S        0   0:00 [kacpid]
    2    17     0     0 ?           -1 S        0   0:00 [kacpi_notify]
    2    18     0     0 ?           -1 S        0   0:00 [kacpi_hotplug]
    2    19     0     0 ?           -1 S        0  23:40 [ata/0]
    2    20     0     0 ?           -1 S        0   0:00 [ata_aux]
    2    21     0     0 ?           -1 S        0   0:03 [ksuspend_usbd]
    2    22     0     0 ?           -1 S        0   1:26 [khubd]
    2    23     0     0 ?           -1 S        0   0:04 [kseriod]
    2    24     0     0 ?           -1 S        0   0:00 [kmmcd]
    2    27     0     0 ?           -1 S        0   0:06 [khungtaskd]
    2    28     0     0 ?           -1 S        0   4:28 [kswapd0]
    2    29     0     0 ?           -1 SN       0   0:00 [ksmd]
    2    30     0     0 ?           -1 S        0   0:00 [aio/0]
    2    31     0     0 ?           -1 S        0   0:00 [ecryptfs-kthrea]
    2    32     0     0 ?           -1 S        0   0:00 [crypto/0]
    2    35     0     0 ?           -1 S        0   0:00 [pciehpd]
    2    37     0     0 ?           -1 S        0   0:00 [scsi_eh_0]
    2    38     0     0 ?           -1 S        0   0:43 [scsi_eh_1]
    2    41     0     0 ?           -1 S        0   0:00 [kstriped]
    2    42     0     0 ?           -1 S        0   0:00 [kmpathd/0]
    2    43     0     0 ?           -1 S        0   0:00 [kmpath_handlerd]
    2    44     0     0 ?           -1 S        0   0:00 [ksnapd]
    2    45     0     0 ?           -1 S        0   0:00 [kondemand/0]
    2    46     0     0 ?           -1 S        0   0:00 [kconservative/0]
    2   217     0     0 ?           -1 S        0   0:00 [usbhid_resumer]
    2   225     0     0 ?           -1 S        0   1:37 [mpt_poll_0]
    2   226     0     0 ?           -1 S        0   0:00 [mpt/0]
    2   241     0     0 ?           -1 S        0   0:00 [scsi_eh_2]
    2   261     0     0 ?           -1 S        0  62:37 [jbd2/sda1-8]
    2   262     0     0 ?           -1 S        0   0:00 [ext4-dio-unwrit]
    2   295     0     0 ?           -1 S        0   4:04 [flush-8:0]
    1   322   321   321 ?           -1 S        0   0:05 upstart-udev-bridge --daemon
    1   327   327   327 ?           -1 S<s      0   0:07 udevd --daemon
    2   543     0     0 ?           -1 S        0   0:03 [kpsmoused]
    2   574     0     0 ?           -1 S        0   0:00 [bluetooth]
    2   634     0     0 ?           -1 S        0   0:00 [kgameportd]
    1   680   680   680 ?           -1 Ss       0   0:03 /usr/sbin/sshd -D
    1   681   670   670 ?           -1 Sl     101   1:30 rsyslogd -c4
    1   690   690   690 ?           -1 Ss     102   2:29 dbus-daemon --system --fork
    1   725   723   723 ?           -1 S      104   4:37 avahi-daemon: running [ubuntu.local]
